song,artist,credits,last,peak,weeks,date
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",1,1,18,2020-01-04
Good As Hell,Lizzo,Ricky Reed,2,1,16,2020-01-04
Lose You To Love Me,Selena Gomez,Mattman & Robin,3,3,10,2020-01-04
Memories,Maroon 5,"A.Levine, The Monsters & Strangerz",4,4,15,2020-01-04
Someone You Loved,Lewis Capaldi,TMS,5,1,28,2020-01-04
Panini,Lil Nas X,"Take A Daytrip, Dot Da Genius",7,6,23,2020-01-04
Trampoline,SHAED,"SHAED, A.Mendoza",6,4,30,2020-01-04
Dance Monkey,Tones And I,K.Kersting,9,8,10,2020-01-04
Don't Start Now,Dua Lipa,I.Kirkpatrick,11,9,8,2020-01-04
Graveyard,Halsey,"J.Bellion, L.Bell, Ojivolta, The Monsters & Strangerz",10,10,15,2020-01-04
Only Human,Jonas Brothers,Shellback,8,3,26,2020-01-04
"10,000 Hours",Dan + Shay & Justin Bieber,D.Smyers,12,12,12,2020-01-04
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",15,13,6,2020-01-04
Truth Hurts,Lizzo,"Ricky Reed, Tele",13,1,31,2020-01-04
Time,NF,"T.Profitt, NF",14,9,22,2020-01-04
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",17,16,5,2020-01-04
Lover,Taylor Swift,"J.M.Antonoff, T.Swift",16,16,17,2020-01-04
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",18,18,9,2020-01-04
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",20,19,4,2020-01-04
Everything I Wanted,Billie Eilish,Finneas,19,19,5,2020-01-04
Nice To Meet Ya,Niall Horan, J.Bunetta,21,19,13,2020-01-04
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,"E.Sheeran, FRED, Steve Mac",23,22,3,2020-01-04
Teeth,5 Seconds Of Summer,"Andrew Watt, L.Bell",25,23,11,2020-01-04
What Am I,Why Don't We,(),22,22,17,2020-01-04
Raising Hell,Kesha Featuring Big Freedia,(),24,24,8,2020-01-04
HIGHEST IN THE ROOM,Travis Scott,"OZ, Nik D, M.G.Dean",26,26,7,2020-01-04
My Type,Saweetie,London On Da Track,27,24,14,2020-01-04
Make It Right,BTS Featuring Lauv,FRED,29,28,8,2020-01-04
Slow Dance,AJ Mitchell & Ava Max,(),28,28,13,2020-01-04
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",32,30,4,2020-01-04
Good Thing,Zedd & Kehlani,"Zedd, Starsmith, Lostboy",31,31,5,2020-01-04
We Made It,Louis Tomlinson,(),33,32,3,2020-01-04
All The Good Girls Go To Hell,Billie Eilish,Finneas,34,20,12,2020-01-04
Blinding Lights,The Weeknd,"Max Martin, O.T.Holter, The Weeknd",39,34,2,2020-01-04
My Oh My,Camila Cabello Featuring DaBaby,Frank Dukes,-,35,1,2020-01-04
Checklist,MAX Featuring Chromeo,(),36,36,2,2020-01-04
Make You Mine,Public,"J.Vaughn, M.Alvarado, E.Tuffendsam, B.Lapps",35,35,5,2020-01-04
Juicy,Doja Cat & Tyga,"TYSON TRAX, Yeti",40,38,2,2020-01-04
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,"L.Bell, Andrew Watt",38,36,9,2020-01-04
Yellow Hearts,Ant Saunders,A.Saunders,-,40,1,2020-01-04
Circles,Post Malone,"Post Malone, Frank Dukes, L.Bell",1,1,19,2020-01-11
Good As Hell,Lizzo,Ricky Reed,2,1,17,2020-01-11
Lose You To Love Me,Selena Gomez,Mattman & Robin,3,3,11,2020-01-11
Memories,Maroon 5,"A.Levine, The Monsters & Strangerz",4,4,16,2020-01-11
Someone You Loved,Lewis Capaldi,TMS,5,1,29,2020-01-11
Panini,Lil Nas X,"Take A Daytrip, Dot Da Genius",6,6,24,2020-01-11
Dance Monkey,Tones And I,K.Kersting,8,7,11,2020-01-11
Trampoline,SHAED,"SHAED, A.Mendoza",7,4,31,2020-01-11
Don't Start Now,Dua Lipa,I.Kirkpatrick,9,9,9,2020-01-11
Only Human,Jonas Brothers,Shellback,11,3,27,2020-01-11
"10,000 Hours",Dan + Shay & Justin Bieber,D.Smyers,12,11,13,2020-01-11
Graveyard,Halsey,"J.Bellion, L.Bell, Ojivolta, The Monsters & Strangerz",10,10,16,2020-01-11
Roxanne,Arizona Zervas,"94Skrt, JaeGreen",13,13,7,2020-01-11
Truth Hurts,Lizzo,"Ricky Reed, Tele",14,1,32,2020-01-11
Heartless,The Weeknd,"Metro Boomin, The Weeknd, Illangelo, Dre Moon",16,15,6,2020-01-11
Lover,Taylor Swift,"J.M.Antonoff, T.Swift",17,16,18,2020-01-11
Hot Girl Bummer,blackbear,"A.M.Goldstein, blackbear",18,17,10,2020-01-11
Adore You,Harry Styles,"Kid Harpoon, T.Johnson",19,18,5,2020-01-11
Everything I Wanted,Billie Eilish,Finneas,20,19,6,2020-01-11
Nice To Meet Ya,Niall Horan,J.Bunetta,21,19,14,2020-01-11
South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,"E.Sheeran, FRED, Steve Mac",22,21,4,2020-01-11
Yummy,Justin Bieber,"Kid Culture, Poo Bear, S.Sirota",-,22,1,2020-01-11
Teeth,5 Seconds Of Summer,"Andrew Watt, L.Bell",23,23,12,2020-01-11
Raising Hell,Kesha Featuring Big Freedia,(),25,24,9,2020-01-11
HIGHEST IN THE ROOM,Travis Scott,"OZ, Nik D, M.G.Dean",26,25,8,2020-01-11
What Am I,Why Don't We,(),24,22,18,2020-01-11
My Type,Saweetie,London On Da Track,27,24,15,2020-01-11
Make It Right,BTS Featuring Lauv,FRED,28,28,9,2020-01-11
Good Thing,Zedd & Kehlani,"Zedd, Starsmith, Lostboy",31,29,6,2020-01-11
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,"will.i.am, K.Harris",30,30,5,2020-01-11
